,county,days_not_enough_sleep,education,employment,gender,general_health,geographic_stratum,hours_slept,income,life_satisfaction,state
435,001,102,5,1,2,3,17,7,,1,13
436,001,488,3,5,2,3,17,8,,1,13
437,001,115,4,5,2,2,17,6,,1,13
438,001,305,5,1,2,3,17,6,,1,13
439,001,205,6,1,2,2,17,8,,1,13
440,001,188,5,7,1,4,17,8,,2,13
441,001,110,6,7,2,1,17,6,,1,13
442,001,288,6,1,2,2,17,6,,2,13
443,001,103,5,1,2,2,17,7,,1,13
444,001,203,3,5,2,3,17,6,,2,13
445,001,315,5,3,2,3,17,6,,2,13
446,001,104,5,7,2,3,17,8,,1,13
447,001,388,2,5,2,4,17,9,,2,13
448,001,203,6,1,1,3,17,6,,1,13
449,001,130,4,8,2,4,17,4,,2,13
450,001,188,3,4,2,3,08,8,,1,13
451,001,188,5,5,2,3,17,7,,2,13
452,001,188,3,8,1,5,17,77,,2,13
453,001,115,3,7,2,4,17,6,,2,13
454,001,101,4,1,2,2,17,6,,2,13
455,001,188,5,7,1,2,17,7,,2,13
456,009,230,5,1,1,2,01,10,,1,13
457,009,210,4,8,2,2,11,77,,1,13
458,009,215,6,1,2,4,11,7,,2,13
459,009,220,6,1,1,3,11,5,,2,13
460,009,188,3,5,2,2,11,8,,1,13
461,009,105,5,1,2,1,11,6,,1,13
462,009,120,3,8,2,5,11,5,,4,13
463,009,105,6,1,2,3,01,7,,1,13
464,009,188,5,7,1,3,11,8,,1,13
465,009,106,5,1,2,3,11,6,,1,13
466,009,188,4,7,2,3,11,10,,1,13
467,009,188,6,1,2,1,11,7,,1,13
468,009,188,5,7,2,4,11,8,,2,13
469,009,188,5,1,2,4,11,7,,2,13
470,009,208,5,1,2,2,11,5,,1,13
471,009,107,4,4,2,4,11,6,,2,13
472,009,188,6,1,2,2,11,6,,1,13
473,009,130,4,1,2,1,11,77,,2,13
474,009,102,5,1,2,3,11,6,,1,13
475,009,104,4,1,1,3,03,12,,2,13
476,009,110,5,1,2,4,11,5,,2,13
477,009,188,4,7,1,1,11,7,,1,13
478,009,104,4,7,1,4,11,6,,2,13
479,009,188,6,7,2,4,11,8,,2,13
480,009,188,6,7,1,2,11,7,,1,13
481,009,102,4,1,2,1,11,8,,1,13
482,009,101,4,7,2,3,11,7,,1,13
483,011,102,4,4,2,1,03,7,,1,13
484,011,104,5,1,2,2,03,7,,1,13
485,011,277,4,7,2,3,03,77,,3,13
486,011,101,6,4,2,1,18,7,,1,13
487,011,214,6,1,2,1,18,7,,2,13
488,011,106,6,8,1,4,03,6,,2,13
489,011,101,6,7,1,5,03,7,,1,13
490,011,830,2,2,1,1,03,6,,4,13
491,013,207,5,5,2,3,09,7,,2,13
492,013,410,5,6,2,1,18,8,,1,13
493,013,430,6,1,2,2,18,6,,1,13
494,013,220,5,1,1,3,18,6,,1,13
495,013,188,2,7,1,4,18,9,,1,13
496,013,177,5,7,2,1,18,7,,2,13
497,013,110,4,1,2,3,18,6,,1,13
498,013,304,6,2,1,1,01,8,,1,13
499,013,188,4,1,2,3,04,9,,2,13
500,013,105,6,1,1,2,18,7,,2,13
501,013,288,3,1,1,1,18,6,,2,13
502,013,130,6,1,2,1,18,6,,1,13
503,013,410,4,5,2,3,18,8,,1,13
504,013,403,6,1,2,3,18,6,,1,13
505,013,101,4,1,2,1,18,9,,2,13
506,013,288,4,1,1,2,18,8,,2,13
507,013,102,5,1,2,4,18,10,,2,13
508,013,188,4,7,2,4,18,8,,1,13
509,013,110,4,2,2,2,01,8,,2,13
510,013,110,5,1,1,3,18,6,,2,13
511,013,488,4,7,1,3,18,8,,3,13
512,013,130,4,8,2,3,18,6,,2,13
513,013,118,5,1,1,3,18,7,,1,13
514,013,188,5,2,1,2,18,8,,2,13
515,013,130,3,1,2,1,18,6,,2,13
516,013,188,3,8,2,4,18,5,,2,13
517,013,110,6,1,2,1,18,6,,1,13
518,013,104,5,2,2,3,18,6,,1,13
519,013,206,4,1,2,2,18,6,,2,13
520,013,130,4,8,2,5,18,6,,1,13
521,013,102,5,1,1,3,18,6,,1,13
522,013,107,6,1,1,3,18,6,,7,13
523,013,188,4,1,1,3,18,7,,2,13
524,013,188,4,1,2,1,18,8,,1,13
525,013,130,5,1,2,1,18,5,,2,13
526,015,115,6,1,2,3,01,7,,2,13
527,015,130,5,7,2,2,01,6,,2,13
528,015,105,5,1,2,2,01,7,,1,13
529,015,188,4,2,2,1,01,8,,1,13
530,015,120,5,1,1,3,01,6,,2,13
531,015,115,4,1,2,2,01,6,,2,13
532,015,106,3,8,2,3,01,9,,2,13
533,015,188,4,2,2,1,01,8,,1,13
534,015,401,6,5,2,1,01,7,,1,13
535,015,130,4,1,2,2,01,6,,1,13
536,015,730,3,1,2,2,01,77,,7,13
537,015,801,2,2,1,3,04,10,,2,13
538,015,102,6,1,1,1,01,7,,2,13
539,015,415,6,1,1,2,01,7,,2,13
540,015,130,5,1,2,3,01,6,,2,13
541,015,420,5,7,2,4,01,7,,3,13
542,015,120,5,1,1,3,01,6,,1,13
543,015,130,4,4,1,4,01,5,,2,13
544,015,104,3,7,2,3,01,8,,2,13
545,015,115,4,8,2,3,01,8,,1,13
546,015,830,4,1,1,2,01,6,,2,13
547,015,110,6,4,1,4,01,7,,2,13
548,015,115,5,1,1,4,01,6,,2,13
549,015,129,4,1,2,2,01,6,,3,13
550,015,110,4,7,2,4,01,8,,2,13
551,015,101,6,7,2,3,01,7,,2,13
552,015,130,6,7,2,4,01,4,,2,13
553,015,130,6,7,2,3,01,6,,2,13
554,015,130,4,8,1,4,02,3,,3,13
555,015,103,4,1,2,3,01,6,,2,13
556,015,130,4,4,1,3,01,5,,2,13
557,015,188,6,7,1,3,01,8,,1,13
558,015,188,5,7,1,4,01,7,,2,13
559,015,130,5,8,2,5,01,3,,2,13
560,015,110,4,1,1,4,01,6,,2,13
561,015,130,4,1,1,3,01,5,,2,13
562,015,102,4,8,2,4,01,7,,2,13
563,015,124,6,1,2,1,01,6,,1,13
564,015,104,5,2,2,3,01,6,,2,13
565,015,188,6,1,1,3,01,6,,1,13
566,015,125,5,8,2,4,01,5,,2,13
567,015,102,4,2,2,1,01,7,,1,13
568,015,188,5,1,1,1,01,8,,1,13
569,015,302,4,2,1,1,01,7,,1,13
570,015,177,4,1,1,2,01,77,,1,13
571,015,102,5,7,2,4,04,7,,2,13
572,017,105,5,7,2,3,14,8,,1,13
573,017,210,6,2,1,2,14,8,,1,13
574,017,188,3,8,1,4,14,8,,1,13
575,017,106,4,7,1,3,14,6,,2,13
576,017,120,6,7,2,3,14,7,,2,13
577,017,415,5,7,2,2,14,6,,1,13
578,017,205,5,1,2,2,14,8,,2,13
579,017,115,4,1,2,3,14,8,,2,13
580,017,177,4,7,2,5,14,10,,2,13
581,017,103,3,7,2,3,14,9,,1,13
582,017,188,4,1,2,3,14,7,,1,13
583,017,888,5,5,2,3,14,7,,1,13
584,017,130,5,2,2,4,14,3,,3,13
585,017,102,4,7,2,3,14,10,,2,13
586,017,188,4,1,1,4,14,7,,1,13
587,017,130,4,7,1,4,14,3,,2,13
588,017,188,5,7,1,4,14,8,,1,13
589,019,188,4,7,2,3,14,77,,2,13
590,019,130,5,1,1,3,14,8,,2,13
591,019,108,3,7,1,4,14,4,,2,13
592,019,188,4,1,2,2,14,8,,1,13
593,019,109,4,1,2,3,14,6,,2,13
594,019,103,6,1,2,2,14,8,,1,13
595,019,103,5,1,2,2,14,5,,1,13
596,019,430,5,1,2,5,14,7,,2,13
597,019,130,4,7,2,3,14,5,,2,13
598,019,120,5,1,2,3,14,6,,2,13
599,019,325,5,1,2,2,14,4,,3,13
600,019,403,6,1,1,2,14,6,,2,13
601,019,288,5,8,1,5,14,9,,2,13
602,019,707,3,4,2,4,14,5,,1,13
603,019,130,4,1,2,2,14,7,,2,13
604,019,102,6,1,2,1,14,7,,1,13
605,019,130,3,1,2,3,14,5,,3,13
606,019,107,6,1,2,1,14,6,,1,13
607,019,188,5,1,1,3,14,10,,1,13
608,019,110,6,1,1,3,14,7,,1,13
609,019,110,5,1,2,2,14,7,,2,13
610,019,188,6,7,2,3,14,16,,1,13
611,019,488,4,2,2,2,14,9,,2,13
612,019,188,4,7,2,4,14,10,,2,13
613,019,188,5,1,2,2,14,6,,2,13
614,019,188,4,1,1,3,14,6,,2,13
615,019,110,4,5,2,1,14,6,,2,13
616,019,120,4,7,2,3,14,6,,2,13
